3M India,MI42,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42
8K Miles Soft,PMS01,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/8kmilessoftwareservices/PMS01
Aarti Ind,AI45,http://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45
Aban Offshore,AO04,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04
ABB India,ABB,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB
Abbott India,AI51,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51
ACC,ACC06,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06
Adani Enterpris,AE13,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13
Adani Ports,MPS,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS
Adani Power,AP11,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11
Adani Trans,AT22,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanitransmission/AT22
Aditya Birla F,PFR,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR
Advanced Enzyme,AET,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET
Aegis Logistics,AL9,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9
AIA Engineering,AIE01,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01
Ajanta Pharma,AP22,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
Akzo Nobel,ICI,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI
Alembic Pharma,AP35,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35
Alkem Lab,AL05,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05
Allahabad Bank,AB15,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/allahabadbank/AB15
Allcargo,AGL02,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02
Amara Raja Batt,ARB,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB
Ambuja Cements,AC18,http://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18
Andhra Bank,AB14,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/andhrabank/AB14
Apar Ind,AI40,http://www.moneycontrol.com/india/stockpricequote/electricequipment/aparindustries/AI40
APL Apollo,BT09,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/aplapollotubes/BT09
Apollo Hospital,AHE,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE
Apollo Tyres,AT14,http://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14
Arvind,A18,http://www.moneycontrol.com/india/stockpricequote/textilesdenim/arvind/A18
Asahi India,AIG01,http://www.moneycontrol.com/india/stockpricequote/glassglassproducts/asahiindiaglass/AIG01
Ashok Leyland,AL,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL
Ashoka Buildcon,AB,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB
Asian Paints,AP31,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
Astra Microwave,AMP01,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/astramicrowaveproducts/AMP01
Astral Poly Tec,APT02,http://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02
AstraZeneca,AZP,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP
Atul,A06,http://www.moneycontrol.com/india/stockpricequote/dyespigments/atul/A06
Aurobindo Pharm,AP,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP
Avanti Feeds,AF21,http://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21
Avenue Supermar,AS19,http://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19
Axis Bank,AB16,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16
Bajaj Auto,BA10,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10
Bajaj Consumer,BC02,http://www.moneycontrol.com/india/stockpricequote/personalcare/bajajconsumercare/BC02
Bajaj Electric,BE,http://www.moneycontrol.com/india/stockpricequote/domesticappliances/bajajelectricals/BE
Bajaj Finance,BAF,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/bajajfinance/BAF
Bajaj Finserv,BF04,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04
